source_ip,city,region,country,asn,org,infra_type,asname,is_proxy,is_hosting,is_mobile,gn_noise,gn_riot,gn_classification,gn_name
102.212.90.135,Edenvale,Gauteng,ZA,AS329225,Lexistar Alliance Ltd.,datacenter/hosting,LAL1-AS,True,False,False,,,,
102.43.28.179,Cairo,Cairo,EG,AS8452,TE-AS,,TE-AS,False,False,False,,,,
103.130.61.61,Jakarta,Jakarta,ID,AS138079,PT. Fiqran Solusindo Mediatama,datacenter/hosting,FASTAMA-AS-ID,True,False,False,,,,
103.139.178.151,São Paulo,São Paulo,BR,AS203020,HostRoyale Technologies Pvt Ltd,datacenter/hosting,HostRoyale,True,True,False,,,,
103.153.159.217,Port Moresby,National Capital,PG,AS45411,APCS Australia,residential/mobile,APCSNET-AU,True,False,True,,,,
103.193.144.223,Batam,Riau,ID,AS58821,PT Lintas Jaringan Nusantara,datacenter/hosting,IDNIC-LJN-AS-ID,True,False,False,,,,
103.217.111.135,Dhaka,Dhaka Division,BD,AS134732,Dot Internet,,DOTINTERNET-AS-AP,False,False,False,,,,
103.217.111.138,Dhaka,Dhaka Division,BD,AS134732,Dot Internet,,DOTINTERNET-AS-AP,False,False,False,True,False,suspicious,unknown
103.217.111.139,Dhaka,Dhaka Division,BD,AS134732,Dot Internet,,DOTINTERNET-AS-AP,False,False,False,True,False,suspicious,unknown
103.75.229.175,Brussels,Brussels Capital,BE,AS203020,HostRoyale Technologies Pvt Ltd,datacenter/hosting,HostRoyale,True,True,False,,,,
104.224.90.91,Los Angeles,California,US,AS21769,Colocation America Corporation,datacenter VPS,AS-COLOAM,False,True,False,,,,
104.238.9.59,Amsterdam,North Holland,NL,AS202044,"Getechbrothers, MB",datacenter/hosting,Getechbrothers-Internet,True,True,False,,,,
104.239.35.21,Montréal,Quebec,CA,AS9009,M247 Europe SRL,datacenter/hosting,M247,True,True,False,,,,
104.239.90.56,Figino,Lombardy,IT,AS9009,M247 Europe SRL,datacenter/hosting,M247,True,True,False,,,,
104.239.91.68,Figino,Lombardy,IT,AS9009,M247 Europe SRL,datacenter/hosting,M247,True,True,False,,,,
104.252.196.182,Marseille,Provence-Alpes-Côte d'Azur,FR,AS59711,HZ Hosting Ltd,datacenter VPS,HZ-EU-AS,True,True,False,,,,
104.253.219.28,Marseille,Provence-Alpes-Côte d'Azur,FR,AS59711,HZ Hosting Ltd,datacenter VPS,HZ-EU-AS,True,True,False,,,,
104.28.196.53,Strasbourg,Grand Est,FR,AS13335,"Cloudflare, Inc.",datacenter/hosting,CLOUDFLARENET,True,False,False,True,False,malicious,unknown
104.28.196.55,Strasbourg,Grand Est,FR,AS13335,"Cloudflare, Inc.",datacenter/hosting,CLOUDFLARENET,True,False,False,True,False,suspicious,unknown
104.28.196.56,Strasbourg,Grand Est,FR,AS13335,"Cloudflare, Inc.",datacenter/hosting,CLOUDFLARENET,True,False,False,True,False,unknown,unknown
104.28.196.57,Strasbourg,Grand Est,FR,AS13335,"Cloudflare, Inc.",datacenter/hosting,CLOUDFLARENET,True,False,False,True,False,malicious,unknown
104.28.196.58,Strasbourg,Grand Est,FR,AS13335,"Cloudflare, Inc.",datacenter/hosting,CLOUDFLARENET,True,False,False,,,,
104.28.228.55,Strasbourg,Grand Est,FR,AS13335,"Cloudflare, Inc.",datacenter/hosting,CLOUDFLARENET,True,False,False,True,False,unknown,unknown
104.28.228.56,Strasbourg,Grand Est,FR,AS13335,"Cloudflare, Inc.",datacenter/hosting,CLOUDFLARENET,True,False,False,True,False,malicious,unknown
104.28.228.57,Strasbourg,Grand Est,FR,AS13335,"Cloudflare, Inc.",datacenter/hosting,CLOUDFLARENET,True,False,False,True,False,suspicious,unknown
104.28.228.58,Strasbourg,Grand Est,FR,AS13335,"Cloudflare, Inc.",datacenter/hosting,CLOUDFLARENET,True,False,False,,,,
105.35.49.112,Cairo,Cairo,EG,AS37069,The Egyptian Company for Mobile Services (Mobinil),residential/mobile,MOBINIL,False,False,True,,,,
105.47.246.148,Cairo,Cairo,EG,AS37069,The Egyptian Company for Mobile Services (Mobinil),residential/mobile,MOBINIL,False,False,True,,,,
106.214.3.14,Indore,Madhya Pradesh,IN,AS24560,"Bharti Airtel Ltd., Telemedia Services",residential/ISP,AIRTELBROADBAND-AS-AP,False,False,False,,,,
106.67.177.226,Meerut,Uttar Pradesh,IN,AS45271,Vodafone Idea Ltd,residential/mobile,VIL-AS-AP,False,False,True,,,,
107.181.148.28,London,England,GB,AS64080,SYN LTD,datacenter/hosting,SYN-UK,True,True,False,,,,
111.67.103.90,Phnom Penh,Phnom Penh,KH,AS139628,"Mega Truenet Communication Co., Ltd.",datacenter/hosting,MEGATRUENET-AS-AP,True,False,False,,,,
117.54.157.254,Bandung,West Java,ID,AS9340,"INDO Internet, PT",,INDONET-AS-AP,False,False,False,,,,
121.169.46.116,Osan,Gyeonggi-do,KR,AS4766,Korea Telecom,residential/ISP,KIXS-AS-KR,True,False,False,,,,
124.63.57.3,Seoul,Seoul,KR,AS17858,LG POWERCOMM,,POWERVIS-AS-KR,False,False,False,,,,
132.226.202.45,Frankfurt am Main,Hesse,DE,AS31898,Oracle Corporation,datacenter/hosting,ORACLE-BMC-31898,False,True,False,,,,
139.135.127.35,Quezon City,National Capital Region,PH,AS138915,Kaopu Cloud HK Limited,datacenter/hosting,KAOPU-HK,False,True,False,,,,
139.162.165.123,Frankfurt am Main,Hesse,DE,AS63949,Akamai Connected Cloud,datacenter/hosting,AKAMAI-LINODE-AP,False,True,False,,,,
14.160.25.150,Hanoi,Hanoi,VN,AS45899,VNPT Corp,,VNPT-AS-VN,False,False,False,,,,
140.99.197.126,Marseille,Provence-Alpes-Côte d'Azur,FR,AS59711,HZ Hosting Ltd,datacenter VPS,HZ-EU-AS,False,True,False,,,,
141.98.84.138,Paris,Île-de-France,FR,AS41745,Baykov Ilya Sergeevich,datacenter/hosting,FORTIS-AS,True,False,False,,,,
142.147.128.97,Ashburn,Virginia,US,AS2914,"NTT America, Inc.",datacenter/hosting,NTT-DATA-2914,True,True,False,,,,
142.202.254.134,Valletta,Valletta,MT,AS203020,HostRoyale Technologies Pvt Ltd,datacenter/hosting,HostRoyale,True,True,False,,,,
144.34.184.77,Los Angeles,California,US,AS25820,IT7 Networks Inc,datacenter/hosting,IT7NET,True,True,False,,,,
145.223.68.134,Paris,Île-de-France,FR,AS215311,Regxa Company for Information Technology Ltd,datacenter VPS,REGXA-CLOUD,False,True,False,,,,
146.103.40.12,Frankfurt am Main,Hesse,DE,AS215311,Regxa Company for Information Technology Ltd,datacenter VPS,REGXA-CLOUD,False,True,False,,,,
149.119.186.59,Houston,Texas,US,AS174,"Cogent Communications, LLC",residential/ISP,COGENT-174,False,False,False,,,,
149.119.187.203,Houston,Texas,US,AS174,"Cogent Communications, LLC",residential/ISP,COGENT-174,False,False,False,,,,
151.245.207.25,London,England,GB,AS2856,British Telecommunications Limited,residential/ISP,BT-UK-AS,False,False,False,,,,
152.232.100.239,Los Angeles,California,US,AS55286,B2 Net Solutions Inc.,datacenter/hosting,SERVER-MANIA,True,True,False,,,,
152.233.13.145,Amsterdam,North Holland,NL,AS60068,Datacamp Limited,datacenter/hosting,CDN77,True,True,False,,,,
152.233.13.146,Amsterdam,North Holland,NL,AS60068,Datacamp Limited,datacenter/hosting,CDN77,True,True,False,,,,
152.55.177.37,Santa Clara,California,US,AS400940,Railway,,RAILWAY,False,False,False,,,,
154.12.141.113,Fort Worth,Texas,US,AS174,"Cogent Communications, LLC",residential/ISP,COGENT-174,False,False,False,,,,
154.137.0.30,Ţūkh,Qalyubia,EG,AS37069,The Egyptian Company for Mobile Services (Mobinil),residential/mobile,MOBINIL,False,False,True,,,,
154.21.154.28,Fort Worth,Texas,US,AS174,"Cogent Communications, LLC",residential/ISP,COGENT-174,False,False,False,,,,
155.254.34.219,London,England,GB,AS64080,SYN LTD,datacenter/hosting,SYN-UK,True,True,False,,,,
156.235.89.46,Los Angeles,California,US,AS149440,Evoxt Sdn. Bhd.,,EVOXTSDNBHD-AS-AP,False,False,False,,,,
156.241.234.155,Seattle,Washington,US,AS400463,DynaNode LLC,datacenter/hosting,DYNANODE-ASN-01,True,False,False,,,,
157.85.97.242,Pak Kret,Nonthaburi,TH,AS56309,"Siamdata Communication Co.,Ltd.",datacenter/hosting,SIAMDATA-TH,True,False,False,,,,
159.146.80.107,Kayseri,Kayseri,TR,AS12735,TurkNet Iletisim Hizmetleri A.S.,,ASTurkNet,False,False,False,,,,
159.146.86.123,Kayseri,Kayseri,TR,AS12735,TurkNet Iletisim Hizmetleri A.S.,,ASTurkNet,False,False,False,,,,
160.211.67.158,Denver,Colorado,US,AS26356,CRUSOE ENERGY SYSTEMS LLC,,CRUSOE,False,False,False,,,,
161.132.48.30,Lima,Lima Province,PE,AS3132,Red Cientifica Peruana,,Red Cientifica Peruana,False,False,False,,,,
165.140.166.156,Los Angeles,California,US,AS153393,RACKVOLT CLOUD SOLUTIONS PRIVATE LIMITED,datacenter/hosting,RACKVOLT-AS-AP,False,True,False,,,,
168.143.121.46,Los Angeles,California,US,AS2914,"NTT America, Inc.",,NTT-DATA-2914,False,False,False,,,,
168.143.72.240,Los Angeles,California,US,AS2914,"NTT America, Inc.",,NTT-DATA-2914,False,False,False,,,,
169.128.192.167,Lisbon,Lisbon,PT,AS211481,Telcom LLC,,telcomllc,False,False,False,,,,
171.25.158.95,Växjö,Kronoberg,SE,AS35100,Patrik Lagerman,datacenter/hosting,PatrikWeb-Core,True,False,False,,,,
172.121.139.119,Santa Clara,California,US,AS18779,EGIHosting,datacenter VPS,EGIHOSTING,True,True,False,,,,
172.56.14.182,Sacramento,California,US,AS21928,"T-Mobile USA, Inc.",residential/mobile,T-MOBILE-AS21928,False,False,True,,,,
172.56.198.175,Boston,Massachusetts,US,AS21928,"T-Mobile USA, Inc.",residential/mobile,T-MOBILE-AS21928,False,False,True,,,,
172.58.243.229,Baltimore,Maryland,US,AS21928,"T-Mobile USA, Inc.",residential/mobile,T-MOBILE-AS21928,False,False,True,,,,
173.211.69.215,Los Angeles,California,US,AS13332,Hype Enterprises,datacenter/hosting,HYPEENT-SJ,True,True,False,,,,
173.239.211.245,New York City,New York,US,AS206092,F.N.S. HOLDINGS LIMITED,datacenter/hosting,SECFIREWALLAS,True,True,False,,,,
173.249.11.41,Lauterbourg,Grand Est,FR,AS51167,Contabo GmbH,datacenter VPS,CONTABO,False,True,False,,,,
173.249.3.102,Lauterbourg,Grand Est,FR,AS51167,Contabo GmbH,datacenter VPS,CONTABO,False,True,False,,,,
176.113.67.230,London,England,GB,AS205544,Leaseweb UK Limited,datacenter VPS,LEASEWEB-UK-LON-11,True,True,False,,,,
177.10.82.248,Pirapó,Rio Grande do Sul,BR,AS262846,Viacom Provedor de Internet,,Viacom Provedor de Internet,False,False,False,,,,
181.105.140.159,Necochea,Buenos Aires,AR,AS7303,Telecom Argentina S.A.,residential/ISP,Telecom Argentina S.A.,False,False,False,,,,
181.214.37.90,Lisbon,Lisbon,PT,AS212238,Datacamp Limited,datacenter/hosting,CDNEXT,True,True,False,,,,
181.214.6.149,Lisbon,Lisbon,PT,AS212238,Datacamp Limited,datacenter/hosting,CDNEXT,False,True,False,,,,
182.4.101.162,Yogyakarta,Yogyakarta,ID,AS23693,PT. Telekomunikasi Selular,residential/mobile,TELKOMSEL-ASN-ID,False,True,True,,,,
182.4.102.201,Yogyakarta,Yogyakarta,ID,AS23693,PT. Telekomunikasi Selular,residential/mobile,TELKOMSEL-ASN-ID,False,True,True,,,,
