source_ip,rdns,shodan_ports,shodan_tags,shodan_vulns,whois_netname,whois_org,whois_country,whois_abuse
102.212.90.135,,,,,South-Africa-Internet2,SA-Internet-Services2,ZA,
103.130.61.61,,"53,80,8081,10000",proxy,"CVE-2026-29167,CVE-2022-37436,CVE-2026-44631,CVE-2023-31122,CVE-2023-5824,CVE-2011-2688,CVE-2019-0196,CVE-2023-49288,CVE-2016-4051,CVE-2018-1301,CVE-2022-28330,CVE-2018-17199,CVE-2017-15715,CVE-2021-32785,CVE-2026-43951,CVE-2026-33523,CVE-2016-2390,CVE-2025-65082,CVE-2009-0796,CVE-2019-12528,CVE-2021-28652,CVE-2021-44224,CVE-2021-28651,CVE-2019-12529,CVE-2024-24795,CVE-2021-31806,CVE-2016-4555,CVE-2021-28116,CVE-2026-49975,CVE-2020-8450,CVE-2013-0942,CVE-2018-1312,CVE-2024-43394,CVE-2021-34798,CVE-2023-46724,CVE-2019-0220,CVE-2026-33857,CVE-2016-10002,CVE-2026-44186,CVE-2016-4054,CVE-2020-25097,CVE-2016-8612,CVE-2018-19131,CVE-2024-45802,CVE-2026-34059,CVE-2021-39275,CVE-2012-4360,CVE-2026-29169,CVE-2016-4556,CVE-2021-26690,CVE-2019-12520,CVE-2025-62168,CVE-2018-11763,CVE-2007-4723,CVE-2021-31807,CVE-2023-46846,CVE-2020-35452,CVE-2016-3948,CVE-2022-30556,CVE-2006-20001,CVE-2013-2765,CVE-2018-1333,CVE-2018-1303,CVE-2026-29170,CVE-2019-0211,CVE-2017-15710,CVE-2023-49285,CVE-2020-8517,CVE-2013-4365,CVE-2024-40898,CVE-2026-44119,CVE-2025-58098,CVE-2024-43204,CVE-2019-12526,CVE-2024-27316,CVE-2024-38477,CVE-2013-0941,CVE-2020-8449,CVE-2024-38474,CVE-2026-42535,CVE-2016-4052,CVE-2016-4979,CVE-2023-25690,CVE-2025-66200,CVE-2024-38475,CVE-2012-3526,CVE-2019-10082,CVE-2020-15811,CVE-2022-26377,CVE-2017-9788,CVE-2026-33526,CVE-2020-13938,CVE-2021-32786,CVE-2026-33515,CVE-2022-29404,CVE-2023-46728,CVE-2025-54574,CVE-2026-34356,CVE-2022-22720,CVE-2021-32791,CVE-2023-50269,CVE-2021-33620,CVE-2020-1927,CVE-2017-3169,CVE-2019-18676,CVE-2026-32748,CVE-2019-18679,CVE-2018-1000024,CVE-2022-22721,CVE-2019-12523,CVE-2017-9798,CVE-2024-37894,CVE-2024-47252,CVE-2022-28614,CVE-2023-45802,CVE-2022-28615,CVE-2021-31808,CVE-2021-33193,CVE-2025-59362,CVE-2025-59775,CVE-2019-10092,CVE-2017-7679,CVE-2021-40438,CVE-2020-15810,CVE-2025-53020,CVE-2019-0217,CVE-2024-38473,CVE-2019-12522,CVE-2022-36760,CVE-2019-12519,CVE-2019-17567,CVE-2023-46847,CVE-2026-33007,CVE-2011-1176,CVE-2016-5387,CVE-2017-3167,CVE-2016-4554,CVE-2019-12524,CVE-2009-2299,CVE-2019-18860,CVE-2019-10098,CVE-2023-49286,CVE-2024-38476,CVE-2025-49812,CVE-2016-4553,CVE-2021-46784,CVE-2018-19132,CVE-2021-32792,CVE-2024-38472,CVE-2026-34032,CVE-2019-18678,CVE-2016-8740,CVE-2016-3947,CVE-2026-24072,CVE-2016-4975,CVE-2024-39573,CVE-2022-22719,CVE-2018-1302,CVE-2024-42516,CVE-2022-41318,CVE-2019-12525,CVE-2018-1283,CVE-2012-4001,CVE-2024-25617,CVE-2019-13345,CVE-2018-17189,CVE-2026-28780,CVE-2019-18677,CVE-2020-11945,CVE-2020-11985,CVE-2016-1546,CVE-2019-12521,CVE-2021-26691,CVE-2018-1000027,CVE-2020-24606,CVE-2026-33006,CVE-2023-38709,CVE-2016-4053,CVE-2022-23943,CVE-2020-1934,CVE-2020-15049,CVE-2016-10003,CVE-2021-44790,CVE-2022-31813,CVE-2020-14058,CVE-2016-8743",FASTAMA-ID,PT. Fiqran Solusindo Mediatama,ID,noc@fastama.net.id
103.193.144.223,,"53,80,161,443,2000",,,IDNIC-JKNID-ID,PT Jaringan Kabel Nusantara,ID,admin@jkn.my.id
103.75.229.175,,,,,HOSTROYALETECHNOLOGIES-AP,HostRoyale Technologies Pvt Ltd,NZ,support@hostroyale.com
104.224.90.91,104.224.90.91.colocationamerica.com,,,,CAC-BLOCK10,Colocation America Corporation,US,Abuse@colocationamerica.com
104.238.9.59,,,,,RIPE,RIPE Network Coordination Centre,NL,abuse@ripe.net
104.239.35.21,,,,,RIPE,RIPE Network Coordination Centre,NL,abuse@ripe.net
104.239.90.56,,,,,RIPE,RIPE Network Coordination Centre,NL,abuse@ripe.net
104.239.91.68,,,,,RIPE,RIPE Network Coordination Centre,NL,abuse@ripe.net
104.252.196.182,,,,,EGN-21,Subnet Digital LLC,US,abuse@egihosting.com
104.253.219.28,,,,,EGN-21,Subnet Digital LLC,US,abuse@egihosting.com
104.28.196.56,,,,,CLOUDFLARENET,"Cloudflare, Inc.",US,abuse@cloudflare.com
104.28.228.56,,,,,CLOUDFLARENET,"Cloudflare, Inc.",US,abuse@cloudflare.com
104.28.228.57,,,,,CLOUDFLARENET,"Cloudflare, Inc.",US,abuse@cloudflare.com
105.47.246.148,,,,,Mobinil,The Egyptian Company for Mobile Services (Mobinil),EG,
107.181.148.28,,,,,RIPE,RIPE Network Coordination Centre,NL,abuse@ripe.net
132.226.202.45,,22,cloud,,OC-260,Oracle Corporation,US,network-contact_ww_grp@oracle.com
