repo_name,block_id,wave,condition,placement,is_control
experiment-tracker-svc,1,1,config_ini,config.ini,False
snowflake-sync-agent,1,1,env,.env,False
geo-clustering-service,1,1,ci_deploy,.github/workflows/deploy.yml,False
propensity-scoring-api,1,1,terraform_tfvars,terraform.tfvars,False
session-replay-parser,1,1,control,.env,True
lookalike-audience-builder,2,1,config_ini,config.ini,False
churn-alert-dispatcher,2,1,ci_deploy,.github/workflows/deploy.yml,False
eventlog-dedup-worker,2,1,terraform_tfvars,terraform.tfvars,False
reco-candidate-gen,2,1,control,.env,True
sentiment-scorer-batch,2,1,env,.env,False
clickstream-aggregator,3,1,config_ini,config.ini,False
onlinestore-cache-warmer,3,1,control,.env,True
user-segment-exporter,3,1,ci_deploy,.github/workflows/deploy.yml,False
fraud-signals-collector,3,1,env,.env,False
label-studio-connector,3,1,terraform_tfvars,terraform.tfvars,False
propensity-batch-scorer,4,1,env,.env,False
embeddings-indexer,4,1,control,.env,True
attribution-model-runner,4,1,config_ini,config.ini,False
warehouse-schema-migrator,4,1,terraform_tfvars,terraform.tfvars,False
recsys-batch,4,1,ci_deploy,.github/workflows/deploy.yml,False
model-drift-tracker,5,1,ci_deploy,.github/workflows/deploy.yml,False
cohort-retention-report,5,1,env,.env,False
funnel-analytics-engine,5,1,control,.env,True
spark-etl-orchestrator,5,1,terraform_tfvars,terraform.tfvars,False
image-embeddings-worker,5,1,config_ini,config.ini,False
redshift-copy-loader,6,2,config_ini,config.ini,False
feature-store-sync,6,2,ci_deploy,.github/workflows/deploy.yml,False
bigquery-export-job,6,2,control,.env,True
revenue-mix-reporter,6,2,env,.env,False
forecast-serving-api,6,2,terraform_tfvars,terraform.tfvars,False
hyperparam-sweep-runner,7,2,terraform_tfvars,terraform.tfvars,False
uplift-model-trainer,7,2,ci_deploy,.github/workflows/deploy.yml,False
delta-lake-compactor,7,2,env,.env,False
kafka-events-ingestor,7,2,config_ini,config.ini,False
time-series-featurizer,7,2,control,.env,True
batch-inference-worker,8,2,config_ini,config.ini,False
dataset-lineage-tracker,8,2,env,.env,False
airflow-dag-catalog,8,2,control,.env,True
gdpr-anon-pipeline,8,2,terraform_tfvars,terraform.tfvars,False
ml-feature-backfill,8,2,ci_deploy,.github/workflows/deploy.yml,False
etl-warehouse-loader,9,2,config_ini,config.ini,False
streaming-metrics-relay,9,2,control,.env,True
nlp-topic-modeler,9,2,ci_deploy,.github/workflows/deploy.yml,False
ab-test-analyzer,9,2,env,.env,False
training-data-validator,9,2,terraform_tfvars,terraform.tfvars,False
pricing-elasticity-model,10,2,control,.env,True
data-quality-monitor,10,2,env,.env,False
customer-ltv-pipeline,10,2,config_ini,config.ini,False
dbt-metrics-layer,10,2,ci_deploy,.github/workflows/deploy.yml,False
vector-search-service,10,2,terraform_tfvars,terraform.tfvars,False
